Francais,Ernestien,Etymologie
côte de maille,feurspêktr,litt. motif de fer
côte,dmaî,côte de maille
côté,populêr,
couleur,pastêl,
couper,cherisavâ,Chérie ça va couper
couteau,cherisavôl,
creaking (Minecraft),omvoaomvoaplû,on me voit on m'voit plus
créateur,diudlâ,
creeper (Minecraft),jeksplôz,
créer,diûd,car dude -> mec -> make -> créer
crème,solêr,
cristal,staâl,
croissance,bagêt,
croissant,batêg,
cube,chazdêm,cube ⇒ 5/2
cuir,chevâl,ref. aux chevaux{\comma} grande source de cuir dans Minecraft du XXIème siècle
cuire,kasrolûz,
cuisine (discipline),bôn,
cuisine (lieu),kasrô,
cuisiné,kasrôzg,
cuisiner,kasrûz,
cuivre,kuûr,pour les métaux{\comma} symbôle atomique + \begin{ernestientrad}ûr\end{ernestientrad}
cyan,malrôg,contraire du rouge
dans,în,
dauphin,flipêr,
de (complément du nom),dâ,
de,dâ,
debug,malchokolâ,
début,alfâ,de l'alpha à l'omega
décomposition en produit de facteurs premiers,bazgulesolicherisavâf,
décoration,auaû,Ah waw
découpe,cherisavâf,
décroissant,malbatêg,
dégât,bugî,dégat ⇒ des gars ⇒ des bougs ⇒ boug + \begin{ernestientrad}î\end{ernestientrad}
démocratie,nuranjêrs,de \begin{ernestienenv}nu\end{ernestienenv} (peuple) et \begin{ernestienenv}ranjers\end{ernestienenv} (pouvoir)
démocratique,nuranjêrg,
démon,alîs,de Alice Guilleux{\comma} démon convolutionneur de fromage du XXIe siècle
démonstration,triviâl,
dérivée,prîm,
deux,jâz,ref. à l'ordre alphabétique
deuxième ,jâzg,
diamant,diâms,
dibi,bistaninbûch,
Dibistan,bistanô,
dictionnaire,rislojisiêl,litt. application (mathématique) de mots
différent,roizôg,
dire,âkq,
dirigé,rijêg,
diriger,rijê,
discontinue,rovivifonûg,
disque de musique,fonskuê,
disque,skuê,
distribution,râk,Dirac
diversité,versitê,du dibi versiti
dix,zâz,ref. à l'ordre alphabétique
doigt,uîsk,ref. Vous ne voulez pas un whisky d'abord ?
donc,êk,
doré,auûrg,
douze,râz,ref. à l'ordre alphabétique
dragon,imajîn,
drapeau,linbagêt,drapeau ⇒ suite croissante d'espace vectoriel ⇒ croissant + linéaire ⇒ lin + baguette
dune,piêr,dune ⇒ dune du Pilat ⇒ pilate ⇒ ponse pilate ⇒ pierre ponse
eau,samuî,car l'eau ça mouille
écaille,badên,écailile ⇒ scute ⇒ scout ⇒ Baden-Powell
écho,iôdl,
éclair,dzeûs,ref. Zeus
éclat,babêl,ref. à ECLA
École des mines,strunzêns,ref. à son musée minéralogique
école,êns,
écrire,vusavê,Otis (pas les ascenseurs)
efficacité,stakanôf,ref. Alekseï Stakhanov
égal (logique),izôg,
égal (moral),peîg,
égal (symbole),îz,
égalité (moral),peîd,Pays-de-Galles = peîd égal
elle,sît,ref. à l'île de la Cité
elles,sitî,
élytre,chugomôr,voir le compteur de mort du serveur Minecraft
en,în,
enchanté,merlôg,merlin l'enchanteur
enchantement,merlôn,merlin l'enchanteur
encre,pûlp,car les poulpes font de l'encre
End (Minecraft),omegô,
ensemble ,zedefsê,ref. à l'axiomatique ZFC
entonnoir,eglueglû,
entre,zetreîn ... zeplatform ...,"mind zegap between zetrein and zeplateforme"
en{\comma} fait de,êf,
épée,nepê,
éphémère,papiiôg,
Ernestie,Ernestô,ernest+ô
ernestien (langue),ernestinbûch,
ernestien (relatif à l'Erenstie),ernestôg,
espace de Banach,tchidalôs,de \begin{ernestientrad}tchilikonkarnê\end{ernestientrad} (banane) et \begin{ernestientrad}pedalôs\end{ernestientrad} (canard)
esperanto,esperinbûch,
Esperlando,esperlandô,
est,muftô,ref. à la rue Mouftard
et,aê,
étain,snûr,pour les métaux{\comma} symbôle atomique + \begin{ernestientrad}ûr\end{ernestientrad}
étiquette,dinerbôn,
étoile,dlamôr,
être,ê,
evocateur (Minecraft),skelebleidiudlâ,
évolution,ês,car évolution = é + volution = é + convolution - con = \begin{ernestienenv}ê\end{ernestienenv} + \begin{ernestienenv}luîs\end{ernestienenv} - \begin{ernestienenv}luî\end{ernestienenv} = \begin{ernestienenv}ês\end{ernestienenv}
explosion,bûm,
exposant,rânj,
facteur (terme d'un produit),ulêsôl,
fenêtre,pâlinuks,
fer,feûr,pour les métaux{\comma} symbôle atomique + \begin{ernestientrad}ûr\end{ernestientrad}
fermé (adj),vâchg,
fermé (n.),vâch,Y'a des vaches dans la fermes
feu d'artifice,auausabrûl,
feu,sabrûl,car le feu ça brûle
fin,omegâ,de l'alpha à l'omega{\comma} \emph{à posteriori} on n'a pas eu faim au méga
flèche,avatâr,ref. Avatar le dernier maître de l'air
fleur,kloâ,qloi ? fleur !
fois (symbole),ûl,
foncé,malmeuîg,
fonction (maths),lojisiêl,
fondamental,enpalêg,
fondement,enpalê,car dans \emph{Gargantua}{\comma} un soldat se fait empaler par le fondement
forme,metrlê,car mettre les formes
fort,strûng,
four,ptî,petits fours
français (habitant),makrodemisiôgz,
français (langue),etiminbûch,
français (relatif au pays),makrodemisiôg,
France,makrodemisiô,
frigo,mozâr,
fromage,dischêrt,de Hugo Dischert{\comma} grand mangeur de fromage du XXIe siècle
fruit,dmêr,
gardien,dlagalaksî,Gardiens de la galaxie
gentil,korentîg,ref. Corentin Gentil grand TD-man du XXIème siècle
ghast (Minecraft),ponê,
globe,ulrûj,globule rouge
glowstone (Minecraft),kartmultistrûnz,
golem,bonôm,
graine,korneî,graine ⇒ seed ⇒ Le Cid ⇒ Croneille
grand (préfixe),fel-,
grand,fêlg,car la Tour Eiffel est grande
grenouille,esî,ref. cours de SI{\comma} grande source d'inspiration de dessin de grenouille de Alice du XXIème siècle
gris,mistîg,car mistigris
hache,ijikâ,H I J K
haut,pinêz,oh pinaise
heptagone,kagrâv,
hexagone,dagrâv,
hoglin,skelarbôr,contraction de méchant cochon
honneur,chrûk,ref. à \begin{ernestientrad}chrûk\end{ernestientrad}
horloge,indirêkt,car les horloges tournent à l'envers
hôte,ingêr,ref. à Hostinger
houe (outil),lalalaôl,
huit,fâz,ref. à l'ordre alphabétique
husk (Minecraft),sugarsponêr,
il,sît,ref. à l'île de la Cité
ils,sitî,
image,isiêl,de \begin{ernestientrad}i\end{ernestientrad} et \begin{ernestientrad}siêl\end{ernestientrad}
impératif (particule sur le verbe),avekû,
inconnu,rouijesêg,contraire de connu
index,jazuîsk,
inégal,ropeîg,
inférieur.e,kûg,
informaticien,nerdôgz,
informatique (adj),nerdôg,
informatique (n.),nerdôn,de "nerd"
intégrale,felbataî,litt. mégasomme
jambe,alorstîv,litt. bras du bas
jambière d'armure,alorstivlaskâl,litt. armure de jambes
jaune,violêg,ref. "Jaune et Violet"
je,lûd,du latin ludo (jeu)
jeu,teiêr,ref. à la théière
joyeux,noêlg,
jungle wood (Minecraft),krustibasîkl,
jungle,krustîb,ref. Empire croustibou
justice,akâb,
K-fêt,kafêt,
laisse,tombê,
lait,papaoutê,
lama,poârf,son du lama qui crache
lancer,chrukûz,
langue,inbûch,car la langue est dans la bouche
lapin,sêrj,
lapis lazuli,doverstrûnz,
larme,fluklondâz,litt. liquide d'oeil
lave,tchikên,
lettre,opiedlâ,car au pied de la lettre 
leur,sitîg,
leurs,sitîg,
levé,lasosîsg,
lever,lasosîs,oh hisse la saucisse
liane,tarzân,
liberté,delivrê,de la reine des neiges
lingot,paralelepipêd,
liquide,flû,car boire se dit \begin{ernestientrad}flûz\end{ernestientrad}
livre,bukîn,
ln (log néperien),dechakâl,haleine de chacal (prenez un cheewing-gum Émile)
loin,malpleblôg,contraire de proche
loup,garû,
lumière,azîz,ref. Cinquième élément
ma,ludêg,
magenta,meuijonêg,
magie,siêl,CIEEEELEUUUUH
magma cube (Minecraft),monoidêm,
magma,monoîd,
maison,etô,E.T. téléphone maison
majeur (doigt),nazuîsk,
majorant (adv.),jakdûg,litt. plus grand que tout
majorant (n.),jakdugôl,
majorité,palîs,de Alice Guilleux{\comma} grande mineure du XXIe siècle
manger,bonûz,
manquer,ubliê,
marmite,obelîks,
marron (couleur),chatêg,marron = châtaigne
masse,poâ,
maths,galôn,ref. à Évartiste Galois
maximum,felêst,
méchant,skeleg,ref. à la choré-choré de 2025
mélange,glubî,gloubi boulga
menton,bogdanôf,
mer,kredî,
mes,ludêg,
métaphore ,fesbukfôr,
métier (suffixe),lâ,
micronation,viviunî,
miel,astêk,miel ⇒ abeille ⇒ maya ⇒ astèques
mignon,filêg,car filet mignon
migraine,latêk,
miner,digî,
minimum,viviêst,
minorant (adj.),jakkûg,
minorant (n.),jakkugôl,
minorité,papalîs,contraire de majorité
moins,kêr,
momie,sûgar,
mon,ludêg,
mot,rîs,ref. à la publicité faisant intervenir un poisson nommé Maurice
motif,spêktr,ref. au "Spectre pattern" la première forme connexe qui pave ${\backslash}mathbb{R}^2$ nécessairement apériodiquement
mouton,nuâj,
mule,tipliê,multiplier
multiplication,ulês,
musique,fôn,"Ernestophone" signifie la musique des Ernests
mutualité,jakfredjâk,
mutuel (chacun à chacun),jakfredjâg,
nation,unî,car nations unis
national,unîg,
nautile,julvêrn,
négation (préfixe),ro,car \begin{ernestienenv}r\end{ernestienenv} ressemble au symbole non
neuf,tâz,ref. à l'ordre alphabétique
noir,savaetûg,ref. ça va être tout noir
nom,alâz,car alâz blâz
nombre $13^1$,bîz,ref. à l'ordre alphabétique
nombre $13^2$,jîz,ref. à l'ordre alphabétique
nombre $13^3$,nîz,ref. à l'ordre alphabétique
nombre $13^4$,mîz,ref. à l'ordre alphabétique
nombre $13^5$,chîz,ref. à l'ordre alphabétique
nombre $13^6$,dîz,ref. à l'ordre alphabétique
nombre $13^7$,kîz,ref. à l'ordre alphabétique
nombre $13^8$,fîz,ref. à l'ordre alphabétique
nombre $13^9$,tîz,ref. à l'ordre alphabétique
nombre $13^{10}$,zîz,ref. à l'ordre alphabétique
nombre $13^{11}$,pîz,ref. à l'ordre alphabétique
nombre $13^{12}$,rîz,ref. à l'ordre alphabétique
nombre premier,bazgpalataî,
nombre,palataî,car c'est pas la taille qui compte
non,rôz,\emph{a posteriori} : ref. au Non de la rôz
nord,panteô,ref. au Panthéon
normal.e,bizârg,
normalien.ne,bizargêst,
nos,ludîg,
nôtre,ludîg,
nourriture,bonâ,
nous,ludî,
noyau,atomîk,
noyer,jokarî,ref. OSS 117
objet,chôz,
octogone,fagrâv,
oeil,klôndâz,oeil ⇒ cyclone ⇒ 6 klôn ⇒ klôn dâz
oeuf,delapôrt,ref. à Henri Horace Roland Delaporte qui a dessiné \emph{Paniers d'oeufs}
officiel,librêg,car \emph{LibreOffice}
oignon,fârs,car l'oignon fait la farce
oiseau,tchîrp,
olympique ,lionêg,ref. à l'OL
olympisme,liôn,
onze,pâz,ref. à l'ordre alphabétique
or,auûr,pour les métaux{\comma} symbôle atomique + \begin{ernestientrad}ûr\end{ernestientrad}
orange,stîvg,poisson Steve
ordinateur,felîks,de Félix Landreau{\comma} informaticien du XXIe siècle
organisation,pumôn,car le poumon est un organe
os,vacherchê,
ou (exclusif),aô,
ou (inclusif),aû,
ouest,lukô,ref. au Luxembourg
oui,chlorên,
outil,ôl,
ouvert (adj),malvâchg,
ouvert (n.),malvâch,\begin{ernestientrad}mâl\end{ernestientrad}- (contraire) et \begin{ernestientrad}vâch\end{ernestientrad} (fermé)
pain,iajamê,car il n'y a jamais assez de pain au NIR3
palais de justice,akabô ,
palétuvier,samuiasîkl,
panda,pedeêf,ref. à PDF (PanDataFrame)
partie,plulâ,car si elle est partie elle est plus là
partouze,peês,
pas,dlû,
pastèque,palestîn,
patate,tûrn,patate ⇒ rotate ⇒ tourne
pays,pôn,ref. à Pompei
pêche,petipatapôn,ref. au héron et héron héron petit patapon
pêcheur,petipataponlâ,
pelle,atârt,
pelle,atârt,
pentagone,chagrâv,
perdre,palnôr,"il perd pas le nord"
perle,blâk,
persistant,malpapiiôg,
pétillant,pchchîg,
pétiller,pchchît,
petit (préfixe),vivi,
petit.e,vivîg,ref. à Vivien
peuple,nû,de "Nous"
philosophie ,platôn,
physique (n.),niutôn,ref. à Newton
pierre,strûnz,ref. à la classification de Strunz
pinceau,smelanjelê,
pioche,digiôl,
pistolet,piû,
pizza,nizbibazzâ,car pizza = 3{\comma}14zza
planter,dechû,
plastron,koflaskâl,litt. armure de poitrine
plein,sâlg,plein ⇒ sous-ensemble pas strict ⇒ sous-groupe pas propre ⇒ pas propre ⇒ sal
plume,tkintêr,ref. à TKinter
plus (symbole),bât,
plusieurs,segpâ,voir \begin{ernestientrad}sêg\end{ernestientrad}
point (mathématiques),vazbâtr,
point (typographique),lazerkifepiû,voir \begin{ernestientrad}lazerkifepiupiû\end{ernestientrad}
pointe,lazerkifepiupiû,voir \begin{ernestientrad}laserkifepiupiupiû\end{ernestientrad}
pointeur,lazerkifepiupiupiû,
poisson,êrn,"Ernest" signifie meilleur des poissons
poitrine,kôfr,car en anglais coffre et poitrine se disent pareil
police,fônt,
polynôme,libelûl,Polynôme ${\backslash}to$ plusieurs noms ${\backslash}to$ Libellulle
pomme,chirâk,de Jacques Chirac{\comma} grand mangeur de pommes du presque XXIe siècle
pomper,chadôk,
port,santianô,
portail,spasiorêl,ref. mao nirtroisien
porte-armure,laskalsulvensôl,
porter,sulvêns,ref. à SoulevENS
pot,pandâ,
poterie,kantinrî,poterie ⇒ pot + ri ⇒ cantine + ri
potion,majîk,
pouce,bazuîsk,
poudre à canon,bumkôk,
poudre,kôk,
poule,kotkôt,
poulpe,krakên,
pouvoir,kâp,
pouvoir,ranjêrs,ref. aux Power Rangers
préface,mulinsekrî,
premier.ère,bâzg,
primitive,malprim,
prince•sse,vividpîk,
principauté,vividpikô,
principe,kikônt,voir valeur
prison,sarkô,de Nicolas Sarkozy{\comma} petit prisonnier du XXIe siècle 
proche,pleblôg,proche ⇒ p + roche ⇒ p + Pierre ⇒ p + Le Blond
procureur,akabôgz,
produit de convolution,luisulês,de Louis Houlès{\comma} grand convolutionneur du XXIe siècle
produit,ulês,
professeur,monkâ,de Yvan Monka
projectile,chrukuzchôz,litt. objet lancé
propriété,namoâ,
puissance,ranjêrs,
pyramide,gîms,ref. à Gims
quadrilatère,magrâv,
quatre,mâz,ref. à l'ordre alphabétique
que (pronom relatif),bît,
rat,roadê,ref. Roi des rats
reconnaisance,uisevrêf,
reconnaître,uisevrê,de "oui c'est vrai"
reconnu,uisevrêg,
référence,etimolojî,car l'étymologie ernestienne comporte de nombreuses références
reine,dpîk,
renard,uatdâz,
représentant,uisenûgz,
représenter,uisenû,
requin,strungêrn,
réseau,uifî,car Wifi
résistance,ôm,Ω
respiration,charlestôn,
résumé,enbrêf,
rien,frêr,
robot,môch,car ro est la particule de négation
roi,dpîk,
roquefort,strunzstrûnz,
rose (couleur),potôg,ref. pot aux roses
rouge,rôg,
royaume,dpikô,
rue,ûlm,
sa,sitêg,
sac,dorâ,
salut,iô,
saumon,potoêrn,litt. poisson rose
sauter,charjê,de "Chargez ! Chargez !"
sciences sociales,neveralôn,
se bourrer la gueule,partûz,
seau,emeljê,ref. "MLG"
secher,maksâs,ref. à Maxence{\comma} grand sécheur du XXIème sicèle
secrétaire d'état,univusavelâ,
selectionné,mezîrg,
séparé,jaztêg,
séparer,jaztê,ref. $(T2)$
sept,kâz,ref. à l'ordre alphabétique
serviette,serviêt,car on mélange les torchons et les serviettes
ses,sitêg,
seul,sêg,voir \begin{ernestientrad}sêk\end{ernestientrad}
si,îf,
signature,epsilôn,voir un cours d'algèbre
signer,epsilonûz,
silex,dazlêks,silex ⇒ 6 + lex ⇒ dâz + leks
six,dâz,ref. à l'ordre alphabétique
soigner,stilenê,soigner ⇒ soig + ner ⇒ stylé + nê
soin,stilenêf,de \begin{ernestientrad}stilenê\end{ernestientrad} = soigner
sol,tûrn,car tournesol
solide,strûng,inspiré de l'anglais
solitude,sêk,ref. à la coinche
somme,bataî,ref. Bataille de la Somme
son,sitêg,
souffle,charlestôn,
soupe,flubonâ,nourriture liquide
sourire,fahîst,Hugo
souris,vêrt,ref. souris verte
sous (position),malchô,
sous-terrain,malchotûrng,
soustraction,keriên,parce que moins que rien
sport,bedesê,ref. au BDS
sportif (adj.),bedesêg,
sportif (n.),bedesêg,
steak,lestîn,car pastèque = \begin{ernestientrad}palestîn\end{ernestientrad}
strctement décroissant,felmalbatêg,
strictement croissant,felbatêg,
sud,mrô,ref. à Montrouge
supercool,feltanîg,de \begin{ernestienenv}fel\end{ernestienenv} (grand) et \begin{ernestienenv}tanîg\end{ernestienenv} (cool)
supérieur.e,dûg,
sur (position),chô,chaussure
ta,kilêg,
table des matières,filmkujeperdû,litt. "table des titres"
table,jeperdû,car je tape sur la table quand j'ai perdu
tapis,bernâr,
teinture,pastelôl,
temps,marsêl,ref. À la recherche du temps perdu
tenir,chandêl,tenir la chandelle
terme d'une somme,bataiôl,
tes,kilêg,
tête,zizû,ref. coup de boule de Zidane
texte,sekrî,car c'est écrit
théorème,totolojî,
théorie des catégories,pokemôn,de \begin{ernestienenv}pokêm\end{ernestienenv}
tiroir,chosêt,
titre,filmkû,ref. jeu du titre
tomate,remî,de Rémi{\comma} grand mangeur de tomate du XXIe siècle
ton,kilêg,
torchon,serviêt,Parce qu'on mélange les torchons et les serviettes
tore,rizotô,de réseau torique
touche,kulê,car touché-coulé
touriste,klavielâ,litt. celui qui visite
tout,jâk,ref. Tous les français 
traducteur,kuierôgz,
traduction,kuiêr,ref. à \emph{Kaamelot}
train,tchutchû,
traité,pabiologîk,car les légumes traités ne sont pas bios
travail,chomâj,
triangle,nagrâv,
triste,selektîg,car tri sélectif
trois,nâz,ref. à l'ordre alphabétique
troisième,nâzg,
truite,chubêr,de la truite de Schubert
tu,kîl,de l'anglais kill (tuer)
type,pokêm,de pokemon
un,bâz,ref. à l'ordre alphabétique
union,fôrs,car l'Union fait la force
utiliser,ûz,
vache,jozefîn,demander à Hugo
valeur,kikônt,car il n'y a que les valeurs qui comptent
ver de terre,frederîk,de Frédéric Worms{\comma} grand philosophe du XXIe siècle
verre,grîn,verre ⇒ vert ⇒ green
vers,frêd,voir \begin{ernestientrad}frederîk\end{ernestientrad}
vert,tapîg,
vex (Minecraft),skelebleî,
viande,chilîk,ref. Chili con carne
vide,obarêg,vide ⇒ {\backslash}emptyset ⇒ o barré
vieux{\comma} vielle (adj.),viôg,
vieux{\comma} vielle (n.),viôgz,
violet,jonêg,ref. "Jaune et Violet"
virtuel,inmatêg,car ça n'existe que dans ma tête
visiter,klaviê,car il joue dans les visiteurs
vos,kilîg,
vôtre,kilîg,
vouloir,plîz,
vous,kilî,
wagonet de mine,digitchutchû,train de grottes
warden,tromîms,
zèbre,kodbâr,
zéro,ôz,
zinc,znûr,pour les métaux{\comma} symbôle atomique + \begin{ernestientrad}ûr\end{ernestientrad}
zombie,sponêr,ref. au spawner à zombie{\comma} grand spawn producteur du XXIème siècle
zoo,lenanimô,car les nanimaux sont dans le zoo