Francais,Ernestien,Etymologie
décoration,auaû,Ah waw
feu d'artifice,auausabrûl,
or,auûr,pour les métaux{\comma} symbôle atomique + \begin{ernestientrad}ûr\end{ernestientrad}
doré,auûrg,
brique,abrâk,
Bogged (Minecraft),anôf,
justice,akâb,
palais de justice,akabô ,
procureur,akabôgz,
dire,âkq,
cookie,aksêpt,
noyau,atomîk,
pelle,atârt,
pelle,atârt,
lumière,azîz,ref. Cinquième élément
cochon,arbûr,cochon ⇒ porc ⇒ port ⇒ harbour
argile,arlelûch,argile ⇒ ar + Gîles ⇒ ar + Lelouche
arbre,asîkl,
miel,astêk,miel ⇒ abeille ⇒ maya ⇒ astèques
bas,alôr,bah alors
jambe,alorstîv,litt. bras du bas
jambière d'armure,alorstivlaskâl,litt. armure de jambes
blaze (Minecraft),aleîz,
breeze (Minecraft),alîz,Aliz briz
démon,alîs,de Alice Guilleux{\comma} démon convolutionneur de fromage du XXIe siècle
bouteille,alamêr,
nom,alâz,car alâz blâz
début,alfâ,de l'alpha à l'omega
impératif (particule sur le verbe),avekû,
flèche,avatâr,ref. Avatar le dernier maître de l'air
arbalète,avatarpiû,
baguette,uiuî,
connaître,uijesê,de "oui je sais"
connaissance,uijesêf,
réseau,uifî,car Wifi
arraignée,uipât,8 pattes
représenter,uisenû,
représentant,uisenûgz,
reconnaître,uisevrê,de "oui c'est vrai"
reconnaisance,uisevrêf,
reconnu,uisevrêg,
doigt,uîsk,ref. Vous ne voulez pas un whisky d'abord ?
renard,uatdâz,
manquer,ubliê,
nation,unî,car nations unis
national,unîg,
citoyen,unîgz,
citoyenneté,unigzêf,
secrétaire d'état,univusavelâ,
betrave,umûs,en référence à un fameux houmous du NIR3 du XXIème siècle
utiliser,ûz,
fois (symbole),ûl,
multiplication,ulês,
produit,ulês,
facteur (terme d'un produit),ulêsôl,
rue,ûlm,
globe,ulrûj,globule rouge
bois,boaboâ,
cuisine (discipline),bôn,
golem,bonôm,
nourriture,bonâ,
manger,bonûz,
BOcal,bokâl,
autre,boterôg,ref. Pierre Bottero
menton,bogdanôf,
sport,bedesê,ref. au BDS
sportif (adj.),bedesêg,
sportif (n.),bedesêg,
tapis,bernâr,
constitution,bîbl,car texte sacré
constitutionnel,biblêg,
conseiller constitutionnel,biblêgz,
que (pronom relatif),bît,
nombre $13^1$,bîz,ref. à l'ordre alphabétique
normal.e,bizârg,
normalien.ne,bizargêst,
Dibistan,bistanô,
dibi,bistaninbûch,
éclat,babêl,ref. à ECLA
concavité,banâ,
concave,banâg,
écaille,badên,écailile ⇒ scute ⇒ scout ⇒ Baden-Powell
plus (symbole),bât,
croissant,batêg,
addition,bataî,voir somme
somme,bataî,ref. Bataille de la Somme
terme d'une somme,bataiôl,
un,bâz,ref. à l'ordre alphabétique
pouce,bazuîsk,
premier.ère,bâzg,
décomposition en produit de facteurs premiers,bazgulesolicherisavâf,
nombre premier,bazgpalataî,
croissance,bagêt,
explosion,bûm,
chimie,bumôn,de \begin{ernestienenv}bum\end{ernestienenv} (explosion)
poudre à canon,bumkôk,
livre,bukîn,
chapitre,bukinplulâ,
Burô,burô,
dégât,bugî,dégat ⇒ des gars ⇒ des bougs ⇒ boug + \begin{ernestientrad}î\end{ernestientrad}
casser,brîs,Brice de Nice
cassé,brîsg,
allay (Minecraft),bleî,
perle,blâk,
violet,jonêg,ref. "Jaune et Violet"
améthyste,jonestrûnz,litt. caillou violet
noyer,jokarî,ref. OSS 117
vache,jozefîn,demander à Hugo
creeper (Minecraft),jeksplôz,
table,jeperdû,car je tape sur la table quand j'ai perdu
nombre $13^2$,jîz,ref. à l'ordre alphabétique
tout,jâk,ref. Tous les français 
chien,jakjâk,toutou voir \begin{ernestientrad}jâk\end{ernestientrad}
majorant (adv.),jakdûg,litt. plus grand que tout
majorant (n.),jakdugôl,
minorant (adj.),jakkûg,
minorant (n.),jakkugôl,
clavier,jakkulê,de \begin{ernestienenv}jâk\end{ernestienenv} (tout) et \begin{ernestienenv}kulê\end{ernestienenv} (touche)
mutualité,jakfredjâk,
mutuel (chacun à chacun),jakfredjâg,
deux,jâz,ref. à l'ordre alphabétique
index,jazuîsk,
séparer,jaztê,ref. $(T2)$
séparé,jaztêg,
deuxième ,jâzg,
nautile,julvêrn,
joyeux,noêlg,
boussole,nôr,la boussole indique le nord
épée,nepê,
informatique (n.),nerdôn,de "nerd"
informatique (adj),nerdôg,
informaticien,nerdôgz,
sciences sociales,neveralôn,
physique (n.),niutôn,ref. à Newton
nombre $13^3$,nîz,ref. à l'ordre alphabétique
pizza,nizbibazzâ,car pizza = 3{\comma}14zza
propriété,namoâ,
trois,nâz,ref. à l'ordre alphabétique
majeur (doigt),nazuîsk,
troisième,nâzg,
triangle,nagrâv,
peuple,nû,de "Nous"
mouton,nuâj,
démocratique,nuranjêrg,
démocratie,nuranjêrs,de \begin{ernestienenv}nu\end{ernestienenv} (peuple) et \begin{ernestienenv}ranjers\end{ernestienenv} (pouvoir)
magma,monoîd,
magma cube (Minecraft),monoidêm,
professeur,monkâ,de Yvan Monka
robot,môch,car ro est la particule de négation
frigo,mozâr,
magenta,meuijonêg,
clair,meuîg,Mais oui c'est clair
confère,metalpasmârt,con + fer
forme,metrlê,car mettre les formes
choisir,mezîr,ref. à Choimet
selectionné,mezîrg,
enchantement,merlôn,merlin l'enchanteur
enchanté,merlôg,merlin l'enchanteur
nombre $13^4$,mîz,ref. à l'ordre alphabétique
gris,mistîg,car mistigris
abeille,maiâ,ref. Maya l'Abeille
champignon,majemoâ,
potion,majîk,
alambic,majikôl,
France,makrodemisiô,
français (relatif au pays),makrodemisiôg,
français (habitant),makrodemisiôgz,
secher,maksâs,ref. à Maxence{\comma} grand sécheur du XXIème sicèle
quatre,mâz,ref. à l'ordre alphabétique
annulaire,mazuîsk,
communauté,mârks,
commun,marksêg,
temps,marsêl,ref. À la recherche du temps perdu
quadrilatère,magrâv,
contraire (préfixe),mal--,
décroissant,malbatêg,
foncé,malmeuîg,
sous (position),malchô,
debug,malchokolâ,
sous-terrain,malchotûrng,
persistant,malpapiiôg,
primitive,malprim,
loin,malpleblôg,contraire de proche
cyan,malrôg,contraire du rouge
ouvert (n.),malvâch,\begin{ernestientrad}mâl\end{ernestientrad}- (contraire) et \begin{ernestientrad}vâch\end{ernestientrad} (fermé)
ouvert (adj),malvâchg,
champimeuh,muuujemoâ,
convexité,mujû,
convexe,mujûg,
est,muftô,ref. à la rue Mouftard
corne,mûz,cornemuse
avant,mulîn,car moulin à vent
préface,mulinsekrî,
sud,mrô,ref. à Montrouge
sur (position),chô,chaussure
travail,chomâj,
bouleau (arbre),chomajasîkl,arbre + travail
bug,chokolâ,demander à Hugo
objet,chôz,
tiroir,chosêt,
couteau,cherisavôl,
couper,cherisavâ,Chérie ça va couper
découpe,cherisavâf,
cuir,chevâl,ref. aux chevaux{\comma} grande source de cuir dans Minecraft du XXIème siècle
nombre $13^5$,chîz,ref. à l'ordre alphabétique
pomme,chirâk,de Jacques Chirac{\comma} grand mangeur de pommes du presque XXIe siècle
viande,chilîk,ref. Chili con carne
tenir,chandêl,tenir la chandelle
pomper,chadôk,
marron (couleur),chatêg,marron = châtaigne
centre commercial,chatlê,
cinq,châz,ref. à l'ordre alphabétique
carré (exposant 2),chazuîsk,
cube,chazdêm,cube ⇒ 5/2
commencer,chapopontû,
sauter,charjê,de "Chargez ! Chargez !"
respiration,charlestôn,
souffle,charlestôn,
pentagone,chagrâv,
chaussure,chasakûr,demander au frère d'Hugo
truite,chubêr,de la truite de Schubert
élytre,chugomôr,voir le compteur de mort du serveur Minecraft
cochon,chrûk,ref. à Chruk
honneur,chrûk,ref. à \begin{ernestientrad}chrûk\end{ernestientrad}
lancer,chrukûz,
projectile,chrukuzchôz,litt. objet lancé
oui,chlorên,
sac,dorâ,
bleu,dovêrg,ref. Bleu d'Auvergne
lapis lazuli,doverstrûnz,
âne,debretân,
boîte,denuî,
ln (log néperien),dechakâl,haleine de chacal (prenez un cheewing-gum Émile)
planter,dechû,
liberté,delivrê,de la reine des neiges
oeuf,delapôrt,ref. à Henri Horace Roland Delaporte qui a dessiné \emph{Paniers d'oeufs}
diamant,diâms,
créer,diûd,car dude -> mec -> make -> créer
créateur,diudlâ,
étiquette,dinerbôn,
nombre $13^6$,dîz,ref. à l'ordre alphabétique
miner,digî,
pioche,digiôl,
wagonet de mine,digitchutchû,train de grottes
fromage,dischêrt,de Hugo Dischert{\comma} grand mangeur de fromage du XXIe siècle
de,dâ,
de (complément du nom),dâ,
six,dâz,ref. à l'ordre alphabétique
silex,dazlêks,silex ⇒ 6 + lex ⇒ dâz + leks
hexagone,dagrâv,
supérieur.e,dûg,
charbon,dboâ,charbon de bois
fruit,dmêr,
côte,dmaî,côte de maille
éclair,dzeûs,ref. Zeus
roi,dpîk,
reine,dpîk,
royaume,dpikô,
étoile,dlamôr,
cabillaud ,dlarutêrn,cabillo ⇒ cod ⇒ code de la route (+ern car c'est un poisson)
gardien,dlagalaksî,Gardiens de la galaxie
pas,dlû,
avec,kôn,
zèbre,kodbâr,
poudre,kôk,
poitrine,kôfr,car en anglais coffre et poitrine se disent pareil
plastron,koflaskâl,litt. armure de poitrine
poule,kotkôt,
coller,kopiê,
gentil,korentîg,ref. Corentin Gentil grand TD-man du XXIème siècle
graine,korneî,graine ⇒ seed ⇒ Le Cid ⇒ Croneille
copier,kolê,
bras,kêt,bracket
blanc,ketvôg,blanquette de veau (comment est votre blanquette ?)
moins,kêr,
soustraction,keriên,parce que moins que rien
principe,kikônt,voir valeur
valeur,kikônt,car il n'y a que les valeurs qui comptent
nombre $13^7$,kîz,ref. à l'ordre alphabétique
chauve,kipêg,ref. chauve qui peut
chauve-souris,kipevêrt,
tu,kîl,de l'anglais kill (tuer)
ton,kilêg,
tes,kilêg,
ta,kilêg,
vous,kilî,
vôtre,kilîg,
vos,kilîg,
poterie,kantinrî,poterie ⇒ pot + ri ⇒ cantine + ri
K-fêt,kafêt,
sept,kâz,ref. à l'ordre alphabétique
pouvoir,kâp,
chef,kapût,chef ⇒ tête ⇒ kaput
brillant,kartmultîg,car la carte multipfonction coupe le brie
glowstone (Minecraft),kartmultistrûnz,
heptagone,kagrâv,
cuisine (lieu),kasrô,
cuisiné,kasrôzg,
casserole,kasrôl,
cuire,kasrolûz,
cuisiner,kasrûz,
traduction,kuiêr,ref. à \emph{Kaamelot}
traducteur,kuierôgz,
cuivre,kuûr,pour les métaux{\comma} symbôle atomique + \begin{ernestientrad}ûr\end{ernestientrad}
cacao,kubâ,ref. à la blague "Pourquoi il n'y a pas de chocolat à Cuba ?"
inférieur.e,kûg,
touche,kulê,car touché-coulé
mer,kredî,
poulpe,krakên,
jungle,krustîb,ref. Empire croustibou
jungle wood (Minecraft),krustibasîkl,
fleur,kloâ,qloi ? fleur !
oeil,klôndâz,oeil ⇒ cyclone ⇒ 6 klôn ⇒ klôn dâz
visiter,klaviê,car il joue dans les visiteurs
touriste,klavielâ,litt. celui qui visite
musique,fôn,"Ernestophone" signifie la musique des Ernests
police,fônt,
commissaire,fontkapût,
disque de musique,fonskuê,
union,fôrs,car l'Union fait la force
fer,feûr,pour les métaux{\comma} symbôle atomique + \begin{ernestientrad}ûr\end{ernestientrad}
côte de maille,feurspêktr,litt. motif de fer
commande,fesî,"fait ci !"
métaphore ,fesbukfôr,
grand (préfixe),fel-,
maximum,felêst,
ordinateur,felîks,de Félix Landreau{\comma} informaticien du XXIe siècle
strictement croissant,felbatêg,
intégrale,felbataî,litt. mégasomme
strctement décroissant,felmalbatêg,
supercool,feltanîg,de \begin{ernestienenv}fel\end{ernestienenv} (grand) et \begin{ernestienenv}tanîg\end{ernestienenv} (cool)
grand,fêlg,car la Tour Eiffel est grande
nombre $13^8$,fîz,ref. à l'ordre alphabétique
mignon,filêg,car filet mignon
armadillo,filelaskâl,litt. Armure mignone
titre,filmkû,ref. jeu du titre
table des matières,filmkujeperdû,litt. "table des titres"
sourire,fahîst,Hugo
huit,fâz,ref. à l'ordre alphabétique
oignon,fârs,car l'oignon fait la farce
octogone,fagrâv,
vers,frêd,voir \begin{ernestientrad}frederîk\end{ernestientrad}
ver de terre,frederîk,de Frédéric Worms{\comma} grand philosophe du XXIe siècle
rien,frêr,
dauphin,flipêr,
liquide,flû,car boire se dit \begin{ernestientrad}flûz\end{ernestientrad}
soupe,flubonâ,nourriture liquide
bol,flubonaôl,objet de la soupe
larme,fluklondâz,litt. liquide d'oeil
boire,flûz,
laisse,tombê,
théorème,totolojî,
jeu,teiêr,ref. à la théière
axolotl,tenochtîtl,les axolotls sont endémiques de Tenochtitlan
cloche,tetdê,
chêne,telê,chêne ⇒ chaine ⇒ télé
nombre $13^9$,tîz,ref. à l'ordre alphabétique
mule,tipliê,multiplier
chaussette,tiruâr,
coolitude,tanîk,car le Titanic coole
cool,tanîg,car le Titanic il a coolé
neuf,tâz,ref. à l'ordre alphabétique
vert,tapîg,
liane,tarzân,
chat,tufebiên,tu fais bien le chat
algorithme,turîn,de Alan Turing
algorithmique,turîng,
patate,tûrn,patate ⇒ rotate ⇒ tourne
sol,tûrn,car tournesol
aimer,tchebichê,car j'ai Bienaymé Tchebychev
espace de Banach,tchidalôs,de \begin{ernestientrad}tchilikonkarnê\end{ernestientrad} (banane) et \begin{ernestientrad}pedalôs\end{ernestientrad} (canard)
lave,tchikên,
oiseau,tchîrp,
banane,tchilikonkarnê,car \emph{banane} et \emph{chili con carne} sont mao-règlement équivalents
train,tchutchû,
baie,tkomsepiê,bêt comme ses pieds
plume,tkintêr,ref. à TKinter
warden,tromîms,
arc,trofôr,l'arc est trop fort dans Minecraft
archer,troforlâ,
démonstration,triviâl,
alors,zên,
ensemble ,zedefsê,ref. à l'axiomatique ZFC
entre,zetreîn ... zeplatform ...,"mind zegap between zetrein and zeplateforme"
article défini,zî,
nombre $13^{10}$,zîz,ref. à l'ordre alphabétique
tête,zizû,ref. coup de boule de Zidane
casque,zizulaskâl,litt. armure de tête
ce,zîs,
dix,zâz,ref. à l'ordre alphabétique
zinc,znûr,pour les métaux{\comma} symbôle atomique + \begin{ernestientrad}ûr\end{ernestientrad}
masse,poâ,
coffre,poatrîn,car en anglais coffre et poitrine se disent pareil
lama,poârf,son du lama qui crache
pays,pôn,ref. à Pompei
ghast (Minecraft),ponê,
catégorie,pokêm,voir type
type,pokêm,de pokemon
théorie des catégories,pokemôn,de \begin{ernestienenv}pokêm\end{ernestienenv}
saumon,potoêrn,litt. poisson rose
rose (couleur),potôg,ref. pot aux roses
côté,populêr,
annexe (48 rue d'Ulm),poloniô,
annexe,poloniê,car on annexe la Pologne
partouze,peês,
égalité (moral),peîd,Pays-de-Galles = peîd égal
égal (moral),peîg,
panda,pedeêf,ref. à PDF (PanDataFrame)
bambou,pedeefbonâ,
canard,pedalôs,ref. à \emph{OSS 117}
pêche,petipatapôn,ref. au héron et héron héron petit patapon
pêcheur,petipataponlâ,
cane à pêche,petipatapôl,outil de pêche
dune,piêr,dune ⇒ dune du Pilat ⇒ pilate ⇒ ponse pilate ⇒ pierre ponse
pistolet,piû,
haut,pinêz,oh pinaise
nombre $13^{11}$,pîz,ref. à l'ordre alphabétique
traité,pabiologîk,car les légumes traités ne sont pas bios
pot,pandâ,
nord,panteô,ref. au Panthéon
cheval,pataklôp,réf à Pataclop
onze,pâz,ref. à l'ordre alphabétique
éphémère,papiiôg,
lait,papaoutê,
minorité,papalîs,contraire de majorité
lingot,paralelepipêd,
alcool,pârt,
se bourrer la gueule,partûz,
couleur,pastêl,
teinture,pastelôl,
bloc,paspâ,quand ça bloque ça passe pas
pastèque,palestîn,
fenêtre,pâlinuks,
majorité,palîs,de Alice Guilleux{\comma} grande mineure du XXIe siècle
nombre,palataî,car c'est pas la taille qui compte
perdre,palnôr,"il perd pas le nord"
organisation,pumôn,car le poumon est un organe
encre,pûlp,car les poulpes font de l'encre
pétiller,pchchît,
pétillant,pchchîg,
four,ptî,petits fours
dérivée,prîm,
proche,pleblôg,proche ⇒ p + roche ⇒ p + Pierre ⇒ p + Le Blond
vouloir,plîz,
ciel,plafô,
assiette,plât,de \emph{plate}
philosophie ,platôn,
partie,plulâ,car si elle est partie elle est plus là
négation (préfixe),ro,car \begin{ernestienenv}r\end{ernestienenv} ressemble au symbole non
différent,roizôg,
rat,roadê,ref. Roi des rats
inconnu,rouijesêg,contraire de connu
non,rôz,\emph{a posteriori} : ref. au Non de la rôz
inégal,ropeîg,
rouge,rôg,
discontinue,rovivifonûg,
tomate,remî,de Rémi{\comma} grand mangeur de tomate du XXIe siècle
diriger,rijê,
dirigé,rijêg,
cadre,rîch,
boule,rîts,ref. théorème de Riesz
nombre $13^{12}$,rîz,ref. à l'ordre alphabétique
tore,rizotô,de réseau torique
mot,rîs,ref. à la publicité faisant intervenir un poisson nommé Maurice
dictionnaire,rislojisiêl,litt. application (mathématique) de mots
exposant,rânj,
pouvoir,ranjêrs,ref. aux Power Rangers
puissance,ranjêrs,
distribution,râk,Dirac
douze,râz,ref. à l'ordre alphabétique
pyramide,gîms,ref. à Gims
loup,garû,
maths,galôn,ref. à Évartiste Galois
verre,grîn,verre ⇒ vert ⇒ green
mélange,glubî,gloubi boulga
crème,solêr,
solitude,sêk,ref. à la coinche
texte,sekrî,car c'est écrit
lapin,sêrj,
torchon,serviêt,Parce qu'on mélange les torchons et les serviettes
serviette,serviêt,car on mélange les torchons et les serviettes
seul,sêg,voir \begin{ernestientrad}sêk\end{ernestientrad}
plusieurs,segpâ,voir \begin{ernestientrad}sêg\end{ernestientrad}
bâton,segrâv,bâton ⇒ ton bas ⇒ c'est grave
triste,selektîg,car tri sélectif
magie,siêl,CIEEEELEUUUUH
elle,sît,ref. à l'île de la Cité
il,sît,ref. à l'île de la Cité
son,sitêg,
ses,sitêg,
sa,sitêg,
elles,sitî,
ils,sitî,
leur,sitîg,
leurs,sitîg,
feu,sabrûl,car le feu ça brûle
briquet,sabrulôl,outil de feu
coquille,sanjâk,Coquilles Saint-Jaques
bateau,santiân,
port,santianô,
eau,samuî,car l'eau ça mouille
palétuvier,samuiasîkl,
cerise,sakurâ,
prison,sarkô,de Nicolas Sarkozy{\comma} petit prisonnier du XXIe siècle 
plein,sâlg,plein ⇒ sous-ensemble pas strict ⇒ sous-groupe pas propre ⇒ pas propre ⇒ sal
noir,savaetûg,ref. ça va être tout noir
momie,sûgar,
husk (Minecraft),sugarsponêr,
porter,sulvêns,ref. à SoulevENS
étain,snûr,pour les métaux{\comma} symbôle atomique + \begin{ernestientrad}ûr\end{ernestientrad}
pinceau,smelanjelê,
vex (Minecraft),skelebleî,
evocateur (Minecraft),skelebleidiudlâ,
méchant,skeleg,ref. à la choré-choré de 2025
hoglin,skelarbôr,contraction de méchant cochon
disque,skuê,
soigner,stilenê,soigner ⇒ soig + ner ⇒ stylé + nê
soin,stilenêf,de \begin{ernestientrad}stilenê\end{ernestientrad} = soigner
orange,stîvg,poisson Steve
cristal,staâl,
efficacité,stakanôf,ref. Alekseï Stakhanov
caillou,strûnz,ref. à la classification de Strunz
pierre,strûnz,ref. à la classification de Strunz
École des mines,strunzêns,ref. à son musée minéralogique
roquefort,strunzstrûnz,
fort,strûng,
solide,strûng,inspiré de l'anglais
requin,strungêrn,
zombie,sponêr,ref. au spawner à zombie{\comma} grand spawn producteur du XXIème siècle
motif,spêktr,ref. au "Spectre pattern" la première forme connexe qui pave ${\backslash}mathbb{R}^2$ nécessairement apériodiquement
portail,spasiorêl,ref. mao nirtroisien
application (maths),lojisiêl,
fonction (maths),lojisiêl,
animal,lenanîm,"les nanimaux"
zoo,lenanimô,car les nanimaux sont dans le zoo
chemin,lekorîst,
copain,lezâm,pour faire \begin{ernestientrad}lezamî\end{ernestientrad} au pluriel
ambassade,lezamô,car c'est le lieu des copaings
ambassadeur,lezamôgz,
steak,lestîn,car pastèque = \begin{ernestientrad}palestîn\end{ernestientrad}
article (de journal),lelalê,de le{\comma} la{\comma} les
olympisme,liôn,
olympique ,lionêg,ref. à l'OL
polynôme,libelûl,Polynôme ${\backslash}to$ plusieurs noms ${\backslash}to$ Libellulle
officiel,librêg,car \emph{LibreOffice}
citoyen permanent,librêgz,
drapeau,linbagêt,drapeau ⇒ suite croissante d'espace vectoriel ⇒ croissant + linéaire ⇒ lin + baguette
métier (suffixe),lâ,
coeur,laîr,car le valet de coeur
migraine,latêk,
point (typographique),lazerkifepiû,voir \begin{ernestientrad}lazerkifepiupiû\end{ernestientrad}
pointe,lazerkifepiupiû,voir \begin{ernestientrad}laserkifepiupiupiû\end{ernestientrad}
pointeur,lazerkifepiupiupiû,
lever,lasosîs,oh hisse la saucisse
levé,lasosîsg,
armure,laskâl,armure ⇒ art mur ⇒ lascaux ⇒ un lascal des lacaux
porte-armure,laskalsulvensôl,
champs,lalalâ,
houe (outil),lalalaôl,
agriculteur,lalalalâ,
con,luî,de Louis Houlès{\comma} grand con(volutionneur) du XXIème siècle
contenir,luichandêl,con + tenir
convolution,luîs,
produit de convolution,luisulês,de Louis Houlès{\comma} grand convolutionneur du XXIe siècle
concombre,luiluîbr,
je,lûd,du latin ludo (jeu)
mon,ludêg,
mes,ludêg,
ma,ludêg,
nous,ludî,
nôtre,ludîg,
nos,ludîg,
ouest,lukô,ref. au Luxembourg
chèvre,vebêr,de Francis Veber{\comma} réalisateur du film \emph{La Chèvre}
souris,vêrt,ref. souris verte
diversité,versitê,du dibi versiti
vieux{\comma} vielle (adj.),viôg,
vieux{\comma} vielle (n.),viôgz,
citoyen honoraire carré,vioglibrêgz ranjjâz,
citoyen honoraire,vioglibrêgz,
jaune,violêg,ref. "Jaune et Violet"
petit (préfixe),vivi,
minimum,viviêst,
micronation,viviunî,
prince•sse,vividpîk,
principauté,vividpikô,
comptine,vivifôn,
continuité,vivifonû,
continu,vivifonûg,
petit.e,vivîg,ref. à Vivien
fermé (n.),vâch,Y'a des vaches dans la fermes
os,vacherchê,
fermé (adj),vâchg,
point (mathématiques),vazbâtr,
carte,varietê,ref. à l'algèbre
écrire,vusavê,Otis (pas les ascenseurs)